"variable","type","description","example","unit","notes"
"infraction_date","Date",NA,NA,NA,NA
"municipality_name","character",NA,NA,NA,NA
"municipality_code","character",NA,NA,NA,NA
"infraction_notice_number","character",NA,NA,NA,NA
"infraction_type","factor",NA,NA,NA,NA
"state_abbr","character",NA,NA,NA,NA
"debt_status","character",NA,NA,NA,NA
"notice_type","factor",NA,NA,NA,NA
"moeda","factor",NA,NA,NA,NA
"legal_framework","factor",NA,NA,NA,NA
"company_name","character",NA,NA,NA,NA
"taxpayer_id","character",NA,NA,NA,NA
"fine_amount","numeric",NA,NA,NA,NA
"ano","numeric",NA,NA,NA,NA
"primary_cnae_code","character",NA,NA,NA,NA
"secondary_cnae_codes","character",NA,NA,NA,NA
"primary_cnae_description","character",NA,NA,NA,NA
"cnae_class_code","character",NA,NA,NA,NA
"cnae_class_description","character",NA,NA,NA,NA
"cnae_group_code","character",NA,NA,NA,NA
"cnae_group_description","character",NA,NA,NA,NA
"cnae_division_code","character",NA,NA,NA,NA
"cnae_division_description","character",NA,NA,NA,NA
"cnae_section_code","character",NA,NA,NA,NA
"cnae_section_description","character",NA,NA,NA,NA
"record_id","character",NA,NA,NA,NA
