year,state_abbr,n,n_with_primary_cnae,prop_with_primary_cnae
1980,CE,1,1,1
1980,MG,2,2,1
1981,CE,9,9,1
1981,GO,3,3,1
1981,MG,11,9,0.8181818181818182
1981,PA,5,5,1
1981,PE,1,1,1
1982,BA,2,0,0
1982,CE,11,10,0.9090909090909091
1982,GO,7,7,1
1982,MG,23,19,0.8260869565217391
1982,PA,10,10,1
1982,RJ,2,2,1
1982,TO,1,1,1
1983,CE,5,4,0.8
1983,GO,15,14,0.9333333333333333
1983,MG,3,3,1
1983,PA,8,8,1
1983,RJ,1,0,0
1983,RS,3,3,1
1983,TO,2,2,1
1984,AC,1,1,1
1984,BA,14,14,1
1984,CE,1,1,1
1984,ES,1,1,1
1984,GO,2,2,1
1984,MG,12,10,0.8333333333333334
1984,PA,6,6,1
1984,PR,4,4,1
1984,RJ,1,1,1
1985,AC,3,3,1
1985,AM,1,1,1
1985,BA,9,9,1
1985,CE,5,5,1
1985,GO,22,20,0.9090909090909091
1985,MG,75,72,0.96
1985,PA,1,1,1
1985,RO,1,1,1
1985,SC,2,1,0.5
1985,TO,1,1,1
1986,AC,1,1,1
1986,BA,2,2,1
1986,CE,9,9,1
1986,DF,2,2,1
1986,ES,2,2,1
1986,GO,39,38,0.9743589743589743
1986,MG,35,33,0.9428571428571428
1986,PA,18,18,1
1986,PR,5,5,1
1986,RJ,7,7,1
1986,RS,1,1,1
1986,SC,2,2,1
1986,SE,6,6,1
1986,SP,2,2,1
1986,TO,5,5,1
1987,AC,5,4,0.8
1987,BA,3,3,1
1987,CE,29,28,0.9655172413793104
1987,DF,1,1,1
1987,ES,1,1,1
1987,GO,66,62,0.9393939393939394
1987,MG,64,62,0.96875
1987,PA,20,20,1
1987,PR,7,6,0.8571428571428571
1987,RJ,10,9,0.9
1987,RS,4,3,0.75
1987,SC,2,2,1
1987,SE,7,5,0.7142857142857143
1987,SP,3,3,1
1987,TO,6,6,1
1988,BA,6,6,1
1988,CE,38,36,0.9473684210526315
1988,DF,7,7,1
1988,ES,3,3,1
1988,GO,60,60,1
1988,MA,1,1,1
1988,MG,302,295,0.9768211920529801
1988,MS,1,1,1
1988,MT,3,3,1
1988,PA,13,13,1
1988,PR,6,6,1
1988,RJ,13,12,0.9230769230769231
1988,RO,6,6,1
1988,RS,23,23,1
1988,SC,5,5,1
1988,SE,16,15,0.9375
1988,SP,8,7,0.875
1988,TO,4,4,1
1989,BA,9,9,1
1989,CE,22,20,0.9090909090909091
1989,DF,3,3,1
1989,ES,1,1,1
1989,GO,248,248,1
1989,MA,8,8,1
1989,MG,221,216,0.9773755656108597
1989,MT,3,3,1
1989,PA,36,35,0.9722222222222222
1989,PR,22,22,1
1989,RJ,9,9,1
1989,RN,1,1,1
1989,RS,21,21,1
1989,SC,16,16,1
1989,SE,15,13,0.8666666666666667
1989,SP,28,28,1
1989,TO,26,26,1
1990,AM,1,1,1
1990,BA,13,12,0.9230769230769231
1990,CE,53,53,1
1990,DF,13,13,1
1990,ES,6,6,1
1990,GO,194,193,0.9948453608247423
1990,MA,10,10,1
1990,MG,517,501,0.9690522243713733
1990,MS,7,7,1
1990,MT,6,6,1
1990,PA,43,42,0.9767441860465116
1990,PE,5,5,1
1990,PI,1,1,1
1990,PR,12,12,1
1990,RJ,4,4,1
1990,RO,5,5,1
1990,RS,3,3,1
1990,SC,27,26,0.9629629629629629
1990,SE,8,7,0.875
1990,SP,4,4,1
1990,TO,4,4,1
1991,AC,1,1,1
1991,BA,9,9,1
1991,CE,41,39,0.9512195121951219
1991,DF,5,5,1
1991,ES,6,6,1
1991,GO,61,60,0.9836065573770492
1991,MA,4,4,1
1991,MG,234,224,0.9572649572649573
1991,MS,2,1,0.5
1991,MT,3,3,1
1991,PA,58,58,1
1991,PI,4,4,1
1991,PR,21,19,0.9047619047619048
1991,RJ,11,11,1
1991,RN,3,3,1
1991,RO,5,5,1
1991,RR,1,1,1
1991,RS,17,17,1
1991,SC,31,29,0.9354838709677419
1991,SP,6,6,1
1991,TO,3,3,1
1992,AC,2,2,1
1992,AL,2,2,1
1992,AP,1,1,1
1992,BA,10,10,1
1992,CE,16,16,1
1992,ES,3,3,1
1992,GO,75,75,1
1992,MA,1,1,1
1992,MG,97,97,1
1992,MS,12,12,1
1992,PA,21,21,1
1992,PE,1,1,1
1992,PR,30,30,1
1992,RJ,6,6,1
1992,RN,1,1,1
1992,RO,1,1,1
1992,RS,26,25,0.9615384615384616
1992,SC,6,6,1
1992,SP,6,6,1
1992,TO,4,4,1
1993,AC,5,5,1
1993,AL,1,1,1
1993,AM,3,3,1
1993,BA,7,7,1
1993,CE,19,19,1
1993,DF,5,5,1
1993,ES,32,32,1
1993,GO,292,290,0.9931506849315068
1993,MA,12,12,1
1993,MG,109,109,1
1993,MS,33,33,1
1993,MT,24,24,1
1993,PA,34,34,1
1993,PB,2,2,1
1993,PR,12,12,1
1993,RJ,10,10,1
1993,RO,1,1,1
1993,RS,20,20,1
1993,SC,7,7,1
1993,TO,1,1,1
1994,AL,5,5,1
1994,BA,15,15,1
1994,CE,15,15,1
1994,DF,5,5,1
1994,ES,13,13,1
1994,GO,787,780,0.9911054637865311
1994,MA,7,7,1
1994,MG,30,30,1
1994,MS,7,7,1
1994,MT,24,24,1
1994,PA,45,45,1
1994,PE,2,2,1
1994,PR,12,11,0.9166666666666666
1994,RJ,13,13,1
1994,RN,1,1,1
1994,RO,4,4,1
1994,RS,21,21,1
1994,SC,10,10,1
1994,SE,1,1,1
1994,SP,6,6,1
1994,TO,3,3,1
1995,AL,32,32,1
1995,AM,1,1,1
1995,AP,1,1,1
1995,BA,147,146,0.9931972789115646
1995,CE,61,61,1
1995,DF,7,7,1
1995,ES,30,30,1
1995,GO,1165,1162,0.9974248927038627
1995,MA,23,23,1
1995,MG,23,23,1
1995,MS,23,23,1
1995,MT,48,46,0.9583333333333334
1995,PA,160,160,1
1995,PB,15,15,1
1995,PE,11,11,1
1995,PI,5,5,1
1995,PR,14,14,1
1995,RJ,13,13,1
1995,RN,4,4,1
1995,RO,30,27,0.9
1995,RR,5,5,1
1995,RS,39,39,1
1995,SC,18,18,1
1995,SE,4,4,1
1995,SP,21,21,1
1995,TO,4,4,1
1996,AC,87,86,0.9885057471264368
1996,AL,130,129,0.9923076923076923
1996,AM,80,80,1
1996,AP,70,70,1
1996,BA,793,789,0.9949558638083228
1996,CE,704,703,0.9985795454545454
1996,DF,40,40,1
1996,ES,550,549,0.9981818181818182
1996,GO,1450,1445,0.996551724137931
1996,MA,391,390,0.9974424552429667
1996,MG,192,192,1
1996,MS,268,268,1
1996,MT,1156,1135,0.9818339100346021
1996,PA,1736,1735,0.9994239631336406
1996,PB,563,560,0.9946714031971581
1996,PE,177,177,1
